geko_category_id,name,path,parent_geko_category_id
107789,Insulating Materials,Tools for Electricians\Insulating Materials,
105339,Tapes,Joining Tools\Tapes,
108074,Roll-up Rulers,Measuring Tools\Roll-up Rulers,
107764,Long Rolled Measures,Measuring Tools\Long Rolled Measures,
108076,Analog,Measuring Tools\Vernier and Electronic Calipers\Analog,
107704,Measuring Tools,Measuring Tools,
108077,Electronic,Measuring Tools\Vernier and Electronic Calipers\Electronic,
107727,L-type Socket Wrenches,Tools for The Workshop and Garage\Socket Wrenches and Accessories\L-type Socket Wrenches,
107882,Wrenches,Tools for The Workshop and Garage\General Mechanical Tools\Wrenches,
105328,Pipe Wrenches,Tools for Plumbers\Pipe Wrenches,
107803,Edge Wrenches,Tools for Plumbers\Edge Wrenches,
107733,Embossing Tools,Tools for The Workshop and Garage\Embossing Tools,
105385,Leather Piercers,Cutting Tools\Leather Piercers,
107715,Car Accessories,Tools for The Workshop and Garage\Car Accessories,
107810,Knives With A Retractable Blade,Cutting Tools\Knives and Blades\Knives With A Retractable Blade,
107811,Blades,Cutting Tools\Knives and Blades\Blades,
105614,Accessories for Welding Machines,Welding Equipment and Accessories\Accessories for Welding Machines,
107801,Angles,"Construction and Renovation\Clamps, Vices and Squares\Angles",
105608,Welding Masks and Helmets,Welding Equipment and Accessories\Welding Masks and Helmets,
105325,Hydraulic Pipe Benders,Tools for Plumbers\Hydraulic Pipe Benders,
107914,Hydraulic Spreaders,Tools for The Workshop and Garage\Service Equipment\Hydraulic Spreaders,
107898,Specialized Tools for Vehicles,Tools for The Workshop and Garage\Specialized Tools for Vehicles,
107912,Suspension Tools,Tools for The Workshop and Garage\Specialized Tools for Vehicles\Chassis Repair Tools\Suspension Tools,
107917,Assembly Aids,Tools for The Workshop and Garage\Service Equipment\Assembly Aids,
107918,Motorcycle Lifts,Tools for The Workshop and Garage\Service Equipment\Assembly Aids\Motorcycle Lifts,
107742,The Other,Garden\The Other,
107732,Load Securing,Tools for The Workshop and Garage\Load Securing,
107958,Towing and Safety Ropes,Joining Tools\Towing and Safety Ropes,
107964,Rectifiers,Tools for The Workshop and Garage\Service Equipment\Rectifiers,
109751,Suction Cups,Construction and Renovation\Tile Cutting Tools and Accessories\Suction Cups,
107928,Engine Diagnostics,Tools for The Workshop and Garage\Specialized Tools for Vehicles\Engine Maintenance Tools\Engine Diagnostics,
107929,Diagnostics,Tools for The Workshop and Garage\Service Equipment\Diagnostics,
107913,Braking System Tools,Tools for The Workshop and Garage\Specialized Tools for Vehicles\Chassis Repair Tools\Braking System Tools,
107965,Engine Timing Locks,Tools for The Workshop and Garage\Specialized Tools for Vehicles\Engine Maintenance Tools\Engine Timing Locks,
107909,Steering and Axle Tools,Tools for The Workshop and Garage\Specialized Tools for Vehicles\Chassis Repair Tools\Steering and Axle Tools,
107905,Oil Filter Wrenches and Kits,Tools for The Workshop and Garage\Service Equipment\Tools for Oil Service\Oil Filter Wrenches and Kits,
107902,Exhaust Tools,Tools for The Workshop and Garage\Specialized Tools for Vehicles\Exhaust Tools,
107726,Special Sockets,Tools for The Workshop and Garage\Socket Wrenches and Accessories\Special Sockets,
107903,Tools for Car Windows,Tools for The Workshop and Garage\Specialized Tools for Vehicles\Tools for Car Windows,
107906,Oil Drain Wrenches,Tools for The Workshop and Garage\Service Equipment\Tools for Oil Service\Oil Drain Wrenches,
107767,Feeler Gauges,Measuring Tools\Feeler Gauges,
107904,Clutch and Gearbox Tools,Tools for The Workshop and Garage\Specialized Tools for Vehicles\Clutch and Gearbox Tools,
107930,Thread Repair,Tools for The Workshop and Garage\General Mechanical Tools\Thread Repair,
107795,Heat Shrink Tubing,Tools for Electricians\Heat Shrink Tubing,
107781,Rubber Hoses,Pneumatics\Pneumatic Installation Accessories\Rubber Hoses,
107939,Reinforced Technical Hoses,Pneumatics\Pneumatic Installation Accessories\Reinforced Technical Hoses,
107783,Reinforced Hoses,Pneumatics\Pneumatic Installation Accessories\Reinforced Hoses,
